date,home_team,away_team,home_score,away_score,home_lineup,away_lineup
3.4.2016,Nantes ,Lille ,0,3,"['Rémy Riou', 'Lorik Cana', 'Oswaldo Vizcarrondo', 'Wilfried Moimbé', 'Youssouf Sabaly', 'Rémi Gomis', 'Guillaume Gillet', 'Adryan', 'Adrien Thomasson', 'Kolbeinn Sigthorsson', 'Emiliano Sala']","['Vincent Enyeama', 'Renato Civelli', 'Stoppila Sunzu', 'Ibrahim Amadou', 'Sébastien Corchia', 'Djibril Sidibé', 'Rio Mavuba', 'Mounir Obbadi', 'Rony Lopes', 'Morgan Amalfitano', 'Eder']"
3.4.2016,Bastia ,Marseille ,2,1,"['Jean-Louis Leca', 'François Modesto', 'Mathieu Peybernes', 'Alexander Djiku', 'Sébastien Squillaci', 'Julian Palmieri', 'Yannick Cahuzac', 'Mehdi Mostefa', 'Gaël Danic', 'François Kamano', 'Brandão']","['Steve Mandanda', 'Rolando', 'Karim Rekik', 'Brice Dja Djédjé', 'Javier Manquillo', 'Lassana Diarra', 'Abou Diaby', 'Rémy Cabella', 'Florian Thauvin', 'Steven Fletcher', ""Georges-Kévin N'Koudou""]"
3.4.2016,Lorient ,Lyon ,1,3,"['Benjamin Lecomte', 'Zargo Touré', 'Yrondu Musavu-King', 'Lamine Gassama', 'Raphaël Guerreiro', 'François Bellugou', 'Walid Mesloub', 'Yann Jouffre', 'Maxime Barthelmé', 'Benjamin Jeannot', 'Majeed Waris']","['Anthony Lopes', 'Samuel Umtiti', 'Mapou Yanga-Mbiwa', 'Jérémy Morel', 'Maxwel Cornet', 'Christophe Jallet', 'Sergi Darder', 'Corentin Tolisso', 'Jordan Ferri', 'Rachid Ghezzal', 'Alexandre Lacazette']"
8.4.2016,Montpellier ,Lyon ,0,2,"['Geoffrey Jourdren', 'Vitorino Hilton', 'Daniel Congré', 'William Rémy', 'Jérôme Roussillon', 'Jamel Saihi', 'Morgan Sanson', 'Jonas Martin', 'Ryad Boudebouz', 'Mustapha Yatabaré', 'Casimir Ninga']","['Anthony Lopes', 'Mapou Yanga-Mbiwa', 'Samuel Umtiti', 'Maxwel Cornet', 'Henri Bédimo', 'Christophe Jallet', 'Maxime Gonalons', 'Sergi Darder', 'Jordan Ferri', 'Rachid Ghezzal', 'Alexandre Lacazette']"
9.4.2016,Guingamp ,Paris S-G ,0,2,"['Jonas Lössl', 'Jérémy Sorbon', 'Christophe Kerbrat', 'Lars Jacobsen', 'Jonathan Martins Pereira', 'Moustapha Diallo', 'Younousse Sankharé', 'Thibault Giresse', 'Marcus Coco', 'Mevlut Erding', 'Jimmy Briand']","['Kevin Trapp', 'Marquinhos', 'Presnel Kimpembe', 'Gregory van der Wiel', 'Layvin Kurzawa', 'Benjamin Stambouli', 'Christopher Nkunku', 'Blaise Matuidi', 'Lucas', 'Jean-Kévin Augustin', 'Hervin Ongenda']"
9.4.2016,Angers ,Gazélec Ajaccio ,0,0,"['Alexandre Letellier', 'Ismaël Traoré', 'Romain Thomas', 'Yoann Andreu', 'Arnold Bouka Moutou', 'Thomas Mangani', 'Romain Saïss', 'Cheikh Ndoye', 'Pierrick Capelle', 'Gilles Sunu', 'Billy Ketkeophomphone']","['Clément Maury', 'Jérémie Bréchet', 'Rodéric Filippi', 'Pablo Martinez', 'Issiaga Sylla', 'Amos Youga', 'Jérôme Le Moigne', 'Louis Poggi', 'Mohamed Larbi', 'Grégory Pujol', 'Khalid Boutaïb']"
9.4.2016,Saint-Etienne ,ESTAC Troyes ,1,0,"['Stéphane Ruffier', 'Moustapha Bayal Sall', 'Loïc Perrin', 'K. Théophile-Catherine', 'Benoît Assou-Ekotto', 'Renaud Cohade', 'Fabien Lemoine', 'Jérémy Clément', 'Kevin Monnet-Paquet', 'Jean-Christophe Bahebeck', 'Nolan Roux']","['Matthieu Dreyer', 'Rincon', 'Matthieu Saunier', 'Chris Mavinga', 'Jessy Pi', 'Aloïs Confais', 'Thiago Xavier', 'Benjamin Nivet', 'Lossémy Karaboué', 'Deniz Hummet', 'Corentin Jean']"
9.4.2016,Caen ,Lorient ,1,2,"['Rémy Vercoutre', 'Alaeddine Yahia', 'Damien Da Silva', 'Emmanuel Imorou', 'Dennis Appiah', 'Ismaël Diomandé', 'Jonathan Delaplace', 'Julien Féret', 'Ronny Rodelin', 'Hervé Bazile', 'Andy Delort']","['Benjamin Lecomte', 'Zargo Touré', 'Lindsay Rose', 'Lamine Gassama', 'Raphaël Guerreiro', 'Didier Ndong', 'Walid Mesloub', 'Maxime Barthelmé', 'Romain Philippoteaux', 'Majeed Waris', 'Benjamin Jeannot']"
9.4.2016,Reims ,Nantes ,2,1,"['Johann Carrasso', 'Antoine Conte', 'Anthony Weber', 'Aissa Mandi', 'Hamari Traoré', 'Franck Signorino', 'Jaba Kankava', 'Prince Oniangué', 'Antoine Devaux', 'Nicolas de Préville', 'Thievy Bifouma']","['Maxime Dupé', 'Lorik Cana', 'Oswaldo Vizcarrondo', 'Youssouf Sabaly', 'Léo Dubois', 'Guillaume Gillet', 'Birama Touré', 'Adrien Thomasson', 'Johan Audel', 'Kolbeinn Sigthorsson', 'Yacine Bammou']"
9.4.2016,Toulouse FC ,Bastia ,4,0,"['Alban Lafont', 'Issa Diop', 'Steeve Yago', 'Marcel Tisserand', 'François Moubandje', 'Tongo Doumbia', 'Alexis Blin', 'Etienne Didot', 'Adrien Regattin', 'Wissam Ben Yedder', 'Martin Braithwaite']","['Jean-Louis Leca', 'Mathieu Peybernes', 'Alexander Djiku', 'François Modesto', 'Julian Palmieri', 'Yannick Cahuzac', 'Seko Fofana', 'Mehdi Mostefa', 'Gaël Danic', 'Floyd Ayité', 'François Kamano']"
