date,home_team,away_team,home_score,away_score,home_lineup,away_lineup
11-8-2017,Rennes ,Lyon ,1,2,"['Abdoulaye Diallo', 'Mexer', 'Joris Gnagnon', 'Ludovic Baal', 'Ramy Bensebaini', 'Hamari Traoré', 'Faitout Maouassa', 'Benjamin André', 'Benjamin Bourigeaud', 'Firmin Mubele', 'Ismaïla Sarr']","['Anthony Lopes', 'Marcelo', 'Jérémy Morel', 'Rafael', 'Marçal', 'Lucas Tousart', 'Sergi Darder', 'Memphis Depay', 'Bertrand Traoré', 'Nabil Fekir', 'Mariano']"
12-8-2017,Nantes ,Marseille ,0,1,"['Ciprian Tatarusanu', 'Nicolas Pallois', 'Koffi Djidji', 'Chidozie Awaziem', 'Diego Carlos', 'Lucas Lima', 'Valentin Rongier', 'Abdoulaye Touré', 'Alex Kacaniklic', 'Yacine Bammou', 'Emiliano Sala']","['Steve Mandanda', 'Rolando', 'Adil Rami', 'Hiroki Sakai', 'Patrice Evra', 'Luiz Gustavo', 'Maxime Lopez', 'André Zambo Anguissa', 'Florian Thauvin', 'Clinton Njie', 'Valère Germain']"
12-8-2017,Amiens ,Angers ,0,2,"['Régis Gurtner', 'Mathieu Bodmer', 'Khaled Adenon', 'Bakaye Dibassy', 'Issa Cissokho', 'Thomas Monconduit', 'Guessouma Fofana', 'Charly Charrier', 'Gaël Kakuta', 'Harisson Manzala', 'Bachibou Koita']","['Alexandre Letellier', 'Romain Thomas', 'Mateo Pavlovic', 'Yoann Andreu', 'Vincent Manceau', 'Lassana Coulibaly', 'Baptiste Santamaria', 'Thomas Mangani', 'Pierrick Capelle', 'Gilles Sunu', 'Enzo Crivelli']"
12-8-2017,Bordeaux ,Metz ,2,0,"['Benoît Costil', 'Jérémy Toulalan', 'Vukasin Jovanovic', 'Youssouf Sabaly', 'Théo Pellenard', 'Younousse Sankharé', 'Lukas Lerager', 'Valentín Vada', 'Malcom', 'Alexandre Mendy', 'François Kamano']","['Thomas Didillon', 'Milan Bisevac', 'Chris Philipps', 'Fallou Diagne', 'Jonathan Rivierez', 'Benoît Assou-Ekotto', 'Gerónimo Poblete', 'Renaud Cohade', 'Yann Jouffre', 'Opa Nguette', 'Nolan Roux']"
12-8-2017,Caen ,Saint-Etienne ,0,1,"['Rémy Vercoutre', 'Alexander Djiku', 'Damien Da Silva', 'Frédéric Guilbert', 'Durel Avounou', 'Jonathan Delaplace', 'Julien Féret', 'Hervé Bazile', 'Vincent Bessat', 'Ronny Rodelin', 'Ivan Santini']","['Stéphane Ruffier', 'Loïc Perrin', 'K. Théophile-Catherine', 'Saidy Janko', 'Ronaël Pierre-Gabriel', 'Assane Dioussé', 'Bryan Dabo', 'Ole Selnaes', 'Romain Hamouma', 'Jonathan Bamba', 'Oussama Tannane']"
12-8-2017,Toulouse FC ,Montpellier ,1,0,"['Alban Lafont', 'Christopher Jullien', 'Kelvin Amian', 'Clément Michelin', 'François Moubandje', 'Yannick Cahuzac', 'Yann Bodiger', 'Zinédine Machach', 'Jimmy Durmaz', 'Ola Toivonen', 'Andy Delort']","['Benjamin Lecomte', 'Daniel Congré', 'Pedro Mendes', 'Jérôme Roussillon', 'Nordi Mukiele', 'Paul Lasne', 'Ellyes Skhiri', 'Kevin Bérigaud', 'Giovanni Sio', 'Souleymane Camara', 'Isaac Mbenza']"
13-8-2017,Strasbourg ,Lille ,3,0,"['Bingourou Kamara', 'Yoann Salmier', 'Kader Mangane', 'Pablo Martinez', 'Kenny Lala', 'Jonas Martin', 'Jean-Eudes Aholou', 'Benjamin Corgnet', 'Nuno Da Costa', 'Idriss Saadi', 'Ihsan Sacko']","['Mike Maignan', 'Ibrahim Amadou', 'Edgar Ié', 'Junior Alonso', 'Fodé Ballo-Touré', 'Kévin Malcuit', 'Thiago Mendes', 'Yassine Benzia', 'Luiz Araujo', 'Nicolas de Préville', 'Anwar El Ghazi']"
13-8-2017,Dijon ,Monaco ,1,4,"['Baptiste Reynet', 'Adam Lang', 'Cédric Varrault', 'Cédric Yambéré', 'Valentin Rosier', 'Arnold Bouka Moutou', 'Romain Amalfitano', 'Jordan Marié', 'Naïm Sliti', 'Wesley Saïd', 'Chang-hoon Kwon']","['Danijel Subasic', 'Jemerson', 'Kamil Glik', 'Djibril Sidibé', 'Jorge', 'João Moutinho', 'Fabinho', 'Rony Lopes', 'Thomas Lemar', 'Radamel Falcao', 'Adama Diakhaby']"
13-8-2017,Guingamp ,Paris S-G ,0,3,"['Karl-Johan Johnsson', 'Christophe Kerbrat', 'Jérémy Sorbon', 'Jordan Ikoko', 'Pedro Rebocho', 'Etienne Didot', 'Lucas Deaux', 'Abdoul Camara', 'Marcus Coco', 'Yannis Salibur', 'Jimmy Briand']","['Alphonse Areola', 'Thiago Silva', 'Marquinhos', 'Layvin Kurzawa', 'Dani Alves', 'Thiago Motta', 'Marco Verratti', 'Adrien Rabiot', 'Ángel Di María', 'Neymar', 'Edinson Cavani']"
18-8-2017,Metz ,Monaco ,0,1,"['Thomas Didillon', 'Fallou Diagne', 'Jonathan Rivierez', 'Benoît Assou-Ekotto', 'Moussa Niakhaté', 'Gerónimo Poblete', 'Cafú', 'Renaud Cohade', 'Yann Jouffre', 'Ablie Jallow', 'Nolan Roux']","['Danijel Subasic', 'Jemerson', 'Kamil Glik', 'Jorge', 'Djibril Sidibé', 'Fabinho', 'João Moutinho', 'Rony Lopes', 'Thomas Lemar', 'Adama Diakhaby', 'Radamel Falcao']"
